,id,comment,author,likecount,publishedAt
0,UgwT9AYb5Hq7Q1fwcIF4AaABAg,"Здарова ёпт вашу мать, я тут разродился видосом. Приятно просмотра что ли =)",Бифо',59,2021-05-01T17:58:48Z
1,Ugwou3_t-3nYYjlFuqZ4AaABAg,Вот такие видос про игру топ. Пожилой Бич пакет если ты играл Блад Борн то зделай видосик про його.,Pasha Gromov,0,2021-06-27T06:22:38Z
2,UgzT7yZjkY1dOYHZJat4AaABAg,Анимация по четвертому резику будет?,Mr Grom,1,2021-06-23T17:49:24Z
3,Ugyxr1xxOhB8xUeX6cl4AaABAg,я недавно пересматривал озвучки дабикрабика на theood1sout и там была реклама этого канала где сказали что (на тот момент) тут только одно видео и мне стало интересно жив ли канал по сей сень,I am kiraninariko,0,2021-06-16T21:20:35Z
4,UgyHOUYQHWknKUzv3fl4AaABAg,Ну почему тебя так мало смотрят((( ты же реально круто делаешь. Может поддаться трендам и на ТикТок  что то снимать. Может там дело пойдет.,Shaiser,0,2021-06-14T23:01:21Z
5,Ugw1uG5JIvI1FJNVFR94AaABAg,"Lol красное&белое кибет, кто то в татарстане чилит)",BaRaSh Baraska,0,2021-05-24T18:09:11Z
6,UgxD3plWLGDdJzxWlN94AaABAg,"Бифо братанчик, не пропадай пожалуйста... ты реально талантливый чорт, ну или чёрт( как угодно) ты вдохновляешь нас... ну хотя... мнэ.
В общем ты крут, я ради тебя даже девственности не терял.
Стоп... кхм, в общем бро давай удачи тебе!!!",RedSFurs,1,2021-05-14T20:41:07Z
7,UgxJNltC6L1QkM04B2t4AaABAg,Зашёл по настольгировать спустя год после отписки увидел что оно живое подписался вновь,No Name,0,2021-05-06T08:41:55Z
8,UgzA6dXFLuIdrjfrbN14AaABAg,Ух жесть как я довно это ждал сейчас только рекомендации  пришло,Dazel Ful,0,2021-05-06T00:43:01Z
9,UgyduohUyrLpwiRIb9B4AaABAg,Ахуе... Я думал ты еще в 2016 умер,123 [H2O],0,2021-05-05T20:22:55Z
10,UgxizMFJwH7bNxkqhsZ4AaABAg,"8:03
Дед рассказывает как он в детстве добирался до школы",X RAY,1,2021-05-05T09:03:39Z
11,UgxcMjjce9_UrUSqytl4AaABAg,Вот бы так-же напракон снимал но нееет давай будем стримить якудзу...,SENPAI!!,1,2021-05-05T08:32:48Z
12,UgwnTbQ0_8L4qitPEQV4AaABAg,Бифо воскресен!,Monkovich Production,2,2021-05-04T12:21:19Z
13,UgzjgAXd6ozbXa7Elux4AaABAg,"Ебать, оно живое!
Как я этому рад!",Anatoly Mamonov,0,2021-05-04T09:27:17Z
14,Ugz9RRvZmiCVZ_KbDNx4AaABAg,"Песня E VE!!! Outsider топ
Кстати, ты живой оказывается",NeKO AnoXXiN,1,2021-05-04T08:38:09Z
15,UgwC8beXPD-_mUQZrHB4AaABAg,"Геймплей, ну так, скучноват прям, но я впервые в игре ждал кат сцены и они были реально интересны, ну в целом мне понравилось",ханыга забулдыгов,0,2021-05-04T06:35:49Z
16,UgzFboULO8FXnLVUPTV4AaABAg,Мы ждали и ждали мы дождались)))),Антон Соколов,0,2021-05-03T18:55:47Z
17,UgyGM27s-yzhklspCml4AaABAg,"КАК НЕ ЖИВОЙ, НО С**А ЖИВОЙ",AmonimousRUS,1,2021-05-03T08:02:26Z
18,UgxH73bTcEYtPpQSROx4AaABAg,Этот маг говна опять выпускает ахуенные видос и уходит в свою сычевальню фармить прыщи. Бифо воскрес,Зеленый Слоник,0,2021-05-03T06:29:08Z
19,UgyOluG5M3rl5I6a0694AaABAg,"12:08 - 12:26 , нужна часовая версия",Risus Urna,0,2021-05-03T03:17:07Z
20,UgwqBa7swGqOii-C1gl4AaABAg,"Ты что, живой?",Римуру Темпест,0,2021-05-03T00:52:29Z
21,Ugw6FeNHw4_gdzEiliF4AaABAg,"Я понял только то что, ты подсел на музыку исполнителя Ev e",Furry Fluffy Tail,0,2021-05-02T21:22:19Z
22,UgxNIstIX26yUrlCF4N4AaABAg,It's alive! It's alive! IT'S ALIVE!!,Алексей Лянгузов,0,2021-05-02T18:08:27Z
23,Ugx9fRhYvx4lAUAPwqF4AaABAg,"Раньше он приходил, когда мы в нём нуждались. Теперь он приходит, когда хочет рассказать о игре, которую прошёл.",schoLari,1,2021-05-02T16:48:16Z
24,UgzTqsFwV4pNwwwT1oJ4AaABAg,Я думал тебя черная жижа затянула и от тебя видосов больше не стоит ждать,Алексей Пупкин,0,2021-05-02T13:26:27Z
25,UgzX1536MmgcMGVOZt14AaABAg,УУУ НОВОЕ ВИДИО ПОНИМАЮ,Максим Осянин,0,2021-05-02T12:32:51Z
26,UgycHY3OWSJkZuGAoIZ4AaABAg,Ого.... Хто ты?,Кирилл пшенников,0,2021-05-02T09:06:38Z
27,UgzBH-lBRzXVIhY8kPt4AaABAg,Рад тебя слышать чувак!!!Видос как всегда на высоте!,Николай Черенков,0,2021-05-02T08:09:27Z
28,Ugzp0EfTZ8MkDXabqHF4AaABAg,"блять, а христос то реально воскрес",agressor,0,2021-05-02T07:44:38Z
29,UgyRsSaRed-SgZ9ARBR4AaABAg,Урааааааааахххххххх.,Диас Хасенов,0,2021-05-02T06:53:30Z
30,Ugz-Sk0mlijk6_0XQ7p4AaABAg,Ты как из могилы вылез?,Григорьев Максим,0,2021-05-02T06:34:05Z
31,UgzP4EXnDPFOyZNyLrl4AaABAg,Ого так он ещё не умер?!,я,0,2021-05-02T06:26:07Z
32,UgyA0IvfpKyTWd3xSgl4AaABAg,"Бифо'  воскрес!
Воистину воскрес!!!",NaoMi,3,2021-05-02T05:43:53Z
33,UgwJWk80_oFMY6jVwhZ4AaABAg,"Нет, не давай мне надежду 
Ты ведь выпустить видео и опять уйдешь...",Fureman Alex,1,2021-05-02T05:30:31Z
34,UgzGuxoJ5ZFiwN8Q_nV4AaABAg,Ты живой? Ахуеть,Пельмешка,0,2021-05-02T04:48:57Z
35,UgyUrIBJYjXuZUrgC3N4AaABAg,"Ееее. Мне кажется что этот обзор лучше половины роликов мармока, а это весьма неплохо",Alek Lavr,1,2021-05-02T04:18:23Z
36,Ugy3LOij8lzG5UhpO2F4AaABAg,"Отписчики, подписывайтесь",Saint_F0x,0,2021-05-02T04:00:54Z
37,UgzehULKJDS__FEufkV4AaABAg,"Не ну классный мужик, лайк",Mr Toporik,2,2021-05-02T03:27:36Z
38,UgzbddS2PHn7M0LGAbV4AaABAg,О мой бог папочка ты жив,Seizishka Tyan,1,2021-05-02T02:54:42Z
39,UgxyEIMLtokWAdn8AAN4AaABAg,"Death Stranding - это проект, к которому мы были не готовы.",Neon Neiny,1,2021-05-01T23:36:14Z
40,UgxUb7hFpyndwSdf0gB4AaABAg,Я думал ты забросил канал бифыч,Данила Савенко,1,2021-05-01T22:38:01Z
41,UgwhVc73QuhBdKPC57d4AaABAg,"Оно живое, но словно неживое",Хайз,1,2021-05-01T22:21:16Z
42,Ugw785bHuKe8F3-_Efl4AaABAg,Бифо жив!,xrenak four,0,2021-05-01T22:11:03Z
43,UgxGTauscx2K12qRSdZ4AaABAg,+ я тоже старый ( мне 14),ILOBRY,0,2021-05-01T22:02:22Z
44,UgyuR32S_CzInVRyw_d4AaABAg,Спс за видос только кто вы молодой человек,ILOBRY,1,2021-05-01T21:48:20Z
45,UgztXSG3bitI6h82RG94AaABAg,"А, ну уважительная причина отсутствия",Zyzik Matroskin,0,2021-05-01T21:39:43Z
